gene,8C_NC3,8C_NC1,8C_NC2,8C_KD3,8C_KD2,8C_KD1
PRAMEF12,1.728496745,2.132033885,2.433309262,1.958308622,1.770791999,1.403131055
PRAMEF1,1.571767044,1.902321091,1.634119684,2.006020516,1.728603927,1.518521148
PRAMEF2,1.968321545,2.2604138,1.986428313,2.339779252,2.161256079,1.479186385
PRAMEF7,0.600136176,1.47586766,1.511185444,1.639546413,1.822371545,1.317238811
PRAMEF13,1.142530845,1.418831699,1.106204197,1.477258921,1.71339843,1.031746848
PRAMEF8,0.638292784,1.314842636,1.23213365,1.437915804,1.479671637,1.128403538
PRAMEF14,1.954376542,2.003129779,1.328242531,1.240927781,1.808467358,1.23689282
GJA4,-1,-1,-1,-0.892531529,-1,-0.49617111
KLF18,0.916040726,0.751197032,-0.126250486,1.422744986,1.391962158,0.707321853
TACR1,-0.419615451,-0.663373187,-1,-0.89216038,0.14237382,-0.405412546
TRIM43B,1.598067136,1.352568889,1.745080693,1.858158635,2.258953849,1.506464528
TRIM43,2.000191567,1.6881208,2.05663849,2.105153037,2.466932434,1.777716095
CXCR4,-0.094942315,0.334220335,0.96106835,-0.441482008,1.763462493,0.255809969
SCN7A,0.095841623,0.412481371,-0.597055907,-0.95900196,-0.175763263,-0.256693181
STK17B,0.788653041,1.091777596,0.839401578,0.934344788,1.142923226,0.629854742
FRG2C,1.329171249,1.506357345,1.284585764,1.359665131,2.34068479,1.974669851
CHST13,-0.552688922,-1,-1,0.002064831,0.85399205,-0.353488752
ARSJ,-1,-0.1983448,-0.49909261,-0.03438024,0.84127525,0.213196853
FRG2,0.813088645,1.4080868,1.58600155,1.668231843,2.136484329,1.77306663
TAF11L11,1.583575725,1.930224711,2.953514672,1.677577873,2.865917244,2.162057106
TAF11L12,1.491909828,1.754813727,2.705281859,1.403059368,2.693548087,1.988312923
TAF11L13,1.084506905,1.030668866,1.97405028,1.111650034,2.14956363,1.282042558
BHMT,0.477743937,0.404006734,0.723650597,0.433186109,0.563715323,0.529878508
SLC36A2,0.309835604,-0.317182975,-0.695351546,0.077264577,0.273700349,-0.366371737
KCNK17,-0.457202224,-1,-1,-0.715227616,0.208591136,0.280346488
RCAN2,0.196629749,0.029578923,-0.874816453,0.438978177,0.745898545,0.916500728
AL365214.2,1.88984141,2.133524814,2.424774952,1.998182238,2.379591676,1.846620384
RFPL4B,2.163405578,2.364761368,2.671416166,2.223836229,2.606897791,2.119219085
MAN1A1,0.339848495,0.578875214,0.481234921,0.173819095,0.100035059,0.477469357
AGMO,0.730478979,1.240137062,0.821672413,1.423228864,1.760029137,1.739043661
PRR23D1,1.280190385,1.464236835,0.81342741,1.270655107,2.172248665,1.58841515
PRR23D2,0.814092736,1.015731121,0.487056483,0.829206551,1.798208369,1.201629957
NEFM,1.065951711,0.966390897,0.796433822,1.792369316,0.765074562,1.511742499
ZHX2,0.023756756,0.026566505,0.131366213,-0.119195979,0.60879657,0.556637344
THEM6,-0.860377043,-0.330318229,-0.546875275,-0.172968158,0.381307667,0.165016248
