gene,8C_NC3,8C_NC1,8C_NC2,8C_KD3,8C_KD2,8C_KD1
PRAMEF11,2.146831283,2.315235823,2.186067446,2.042771372,1.68532167,1.378099765
HNRNPCL1,2.207073028,2.543587903,2.38325715,2.663552212,2.050678443,1.888021089
PRAMEF4,2.441330706,2.929317975,2.746886543,2.383936369,1.971959328,1.494150745
PRAMEF10,2.01058541,2.470960661,1.530570517,2.008810676,1.284057986,0.774767636
PRAMEF6,2.539999085,3.089733856,2.476087676,2.112132036,1.889376146,1.381382053
PRAMEF27,2.537364168,2.903511608,2.461741758,2.171166258,1.952700854,1.594272013
HNRNPCL3,2.247567499,2.674006666,2.015760866,2.168886508,1.874926438,1.338258715
PRAMEF25,2.103404719,2.436839276,1.91767264,1.857886193,1.691356838,1.207358773
HNRNPCL2,2.378627393,2.544821611,2.335198587,2.533043916,2.386446763,1.853607626
PRAMEF26,2.45224386,2.824955003,2.318311022,2.26730517,2.146459285,1.61389259
HNRNPCL4,2.356657388,2.7767542,2.201923998,2.422127614,2.143436262,1.600288848
PRAMEF9,2.330829909,2.885567607,2.312155679,2.009994355,1.999766007,1.616018928
PRAMEF18,1.27560933,2.087593051,1.270419453,0.664816703,0.378242196,-1
PRAMEF5,2.435876356,2.961855575,2.218887183,2.030817427,1.644590556,1.321568101
PRAMEF33,1.784357308,2.452324901,0.886355222,1.767851167,0.911282309,0.615260766
PRAMEF15,2.517436111,2.938764836,2.56405641,2.090045756,2.008851348,1.549224171
PRAMEF17,1.739625087,2.178945861,1.428459365,0.846996134,0.548487721,0.130481308
PRAMEF20,1.994232916,2.405714808,1.807554259,1.703128494,1.397514716,0.625168902
RSRP1,1.386002199,1.778706031,2.149164116,1.484552864,1.49103204,0.487685126
MFSD2A,1.235968096,2.24011828,1.29901284,0.178046213,1.186877967,1.241864987
KLF17,2.013991633,2.308875253,1.92002133,0.800754939,0.977252396,-0.511243502
PTGER3,-0.92854882,0.21878956,-1,0.312073109,-1,-1
BRDT,2.120545822,2.308409865,2.310091603,1.578593315,1.580741641,1.406701591
WDR47,1.848478984,1.966161376,1.697085151,1.343173441,1.2381894,1.091944535
CCSAP,1.280188141,1.356903098,1.174784386,0.348868217,0.492637408,0.456848217
ALPG,1.634189236,2.044370901,2.041016358,1.109894372,1.069289875,0.329625084
CCK,1.151845937,1.452251894,0.834587091,1.026636996,1.490910182,1.73444089
PRR20G,2.51670479,3.135388978,2.725923738,2.024996084,2.362052178,1.272690339
DBR1,2.052569078,2.382948194,2.066725434,1.573159641,1.691971361,1.065284001
AGTR1,-0.032816481,0.015833059,-0.307841939,-1,-0.616698261,-1
SLC34A2,1.826110935,2.53949433,2.017874356,1.533570775,1.181956432,0.888530107
ART3,0.940463789,0.850420275,0.476270247,0.859038727,0.114905298,-1
H3Y2,2.188543286,2.84291598,2.310421646,2.367120756,2.716563485,1.679614612
H3Y1,2.718822672,3.489884203,3.212748303,2.485470722,2.83395737,1.735465966
CDH10,0.343745618,0.234773738,0.034472817,0.085970225,0.747754521,-1
AC113348.2,2.948246575,3.295152629,2.624761095,2.283891942,2.632329528,1.760619014
AC113348.1,3.236207224,3.583515905,2.910772654,2.567735348,2.901111627,1.895959938
AL365232.1,3.81198928,4.113679283,4.002648697,2.933746724,2.749947806,1.866635109
KHDC1L,3.999239278,4.310565723,4.250105059,3.11933677,2.959061632,2.05494485
SGK1,1.649090423,1.88979679,1.701863241,0.935507565,1.161477397,0.65330815
ZNF679,2.39200521,2.84798434,1.966865338,2.122692334,1.713886451,0.235280564
PRSS58,0.726812618,0.597870373,1.139554221,0.833518721,0.256945594,-1
FAM9B,-0.388224958,-0.180274505,-0.488091412,0.384150609,-0.052072842,-0.043478613
ZNF596,2.178295982,2.29584611,1.692923118,2.167109874,1.889912134,0.89440627
GNRH1,-0.254395301,0.085769482,0.337240281,0.303596944,0.615268073,-1
ANXA13,-1,-0.518427206,-1,-1,-0.007992089,-0.825529593
ASCL2,-0.882496896,-0.422647087,-0.52160087,-1,-0.131518445,-0.821783063
NXF1,1.854713207,2.205503673,1.786291093,1.433069445,2.074672756,1.261465133
UBTFL1,2.168097095,1.915868696,1.14290988,1.674491581,1.457964434,0.938792595
PFKFB3,0.953033777,1.098420027,0.743191212,0.446379571,0.538270924,0.138487721
SAMD8,1.50946434,1.875626681,1.706699958,1.117947084,0.772847124,0.315383861
VAMP1,0.802939054,1.364517924,1.045933965,0.023458603,0.757182863,-0.68827445
CCNA1,2.196192255,2.601315892,1.73466479,2.245123381,2.088908792,1.013973574
HSPA2,0.979209004,0.933372204,0.74532806,1.066968251,1.269042067,0.3700638
HBA2,0.609165474,0.413157532,1.383235388,0.596044917,1.104996295,0.256305692
MYLK3,0.300488576,0.498872322,-0.800643641,-0.88046484,0.302722089,-1
SIAH1,2.467574802,2.798119588,1.826864599,1.27016815,1.287660749,0.967939573
AC025287.4,1.732943421,2.112565093,1.045366031,1.760743228,1.370552071,0.784357277
CPHXL,1.859595947,2.459812797,1.642928415,2.198271529,2.232059984,2.113767526
SNAI1,1.485367531,1.876839556,1.285600528,1.126487054,1.348330828,0.777919618
C3,0.186324444,-0.239885071,-0.577684292,0.492518715,-0.401144382,-0.953402197
MBD3L2B,2.376138621,3.127052648,2.210579686,2.432824308,2.363521317,1.56597928
MBD3L2,3.194948362,3.898036938,3.028653304,3.166709102,3.329416115,2.640574154
CLEC17A,0.677033264,0.936842475,-0.057609846,0.108571182,-0.841497067,-1
LEUTX,3.429828848,3.526561704,2.062860586,3.170257944,2.930019684,1.940287288
TPRX1,2.158432322,2.693674366,2.098908885,1.778685615,1.369693494,0.202584199
ZSCAN5B,2.305678255,3.04482233,2.303120779,2.33068097,2.301612947,1.710912874
DUXA,3.20598085,3.79991044,3.317673988,3.08561211,2.80859801,1.299174313
ZSCAN4,3.103901666,3.494330443,2.829853252,2.439047885,2.421760101,1.651726561
ZNF280A,2.709996452,2.975867366,2.625926037,1.52472373,1.533415363,0.561494813
BIK,2.45173602,2.736928334,2.995970575,1.65793897,0.315855261,-0.050397453
