condition,logFC
sh2477,-2.587476723
sh2477,-2.290389085
sh2477,-2.355434946
sh2477,-2.761434798
sh2477,-3.246511847
sh2477,-2.390513318
sh2477,-2.673297624
sh2477,-2.206500641
sh2477,-3.527207696
sh2477,-1.62118727
sh2477,-1.43925994
sh2477,-3.018808094
sh2477,-2.715843825
sh2477,-2.356424655
sh2477,-2.622099188
sh2477,-2.570756545
sh2477,-5.192092361
sh2477,-2.843813351
sh2477,-2.106462597
sh2477,-3.696442238
sh2477,-2.444866173
sh2477,-2.512920009
sh2477,-2.037500825
sh2477,-3.619505299
sh2477,-2.408107838
sh2477,-3.219826999
sh2477,-3.198476156
sh2477,-3.558404078
sh2477,-2.694927891
sh2477,-1.967520727
sh2477,-4.601697928
sh2477,-2.785916345
sh2477,-2.835727506
sh2477,-3.710284168
sh2477,-3.192328245
sh2477,2.212182763
sh2477,-3.476402108
sh2477,-1.872608179
sh2477,-1.468220312
sh2477,-1.871346937
sh2477,-3.118318461
sh2477,-3.719313269
sh2477,-2.694737137
sh2477,-2.763311406
sh2477,-0.676906662
sh2477,-0.827817014
sh2477,-1.720349966
sh2477,-0.69576709
sh2477,-1.192687585
sh2477,-0.429091018
sh2477,-2.033573441
sh2477,-1.999767931
sh2477,-1.570971875
sh2477,-3.863382282
sh2477,-0.472389972
sh2477,-1.168814697
sh2477,0.685685595
sh2477,-1.843808322
sh2477,-1.591058
sh2477,-1.718582595
sh2477,-2.841715458
sh2477,-0.354387246
sh2477,-2.066404402
sh2477,-1.295197079
sh2477,-3.254502743
sh2477,-1.319160625
sh2477,-3.18112999
sh2477,-1.097061061
sh2477,-1.776014993
sh2477,-1.639593682
sh2477,-0.757045934
sh2477,-1.641062906
sh2477,-1.905816549
sh2477,-0.271226731
sh2477,-5.424013253
sh2477,-3.604955278
sh2477,-0.477071622
sh2477,-2.513277147
sh2477,-1.781205675
sh2477,1.324713419
sh2477,-1.465591789
sh2477,1.141086454
sh2477,-1.164565611
sh2477,-0.389064718
sh2477,-0.499039701
sh2477,-2.265073131
sh2477,-0.961807004
sh2477,-1.014210465
sh2477,-0.871253088
sh2477,-1.485444877
sh2477,-0.298666295
sh2477,-4.1321226
sh2477,-0.835411252
sh2477,-1.771446774
sh2477,-1.429278571
sh2477,-1.583466453
sh2477,-0.832265052
sh2477,-0.59220153
sh2477,0.636499179
sh2477,0.529987958
sh2477,0.439487033
sh2477,0.23144699
sh2477,-0.869018814
sh2477,-0.146328096
sh2477,-1.468908845
sh2477,0.297193733
sh2477,0.302573278
sh2477,0.827270476
sh2477,-0.137870347
sh2477,-0.80359799
sh2477,-0.332205201
sh2477,-0.111112137
sh2477,0.108921256
sh2477,-0.104171899
sh2477,0.092207367
sh2477,-0.413192738
sh2477,0.196420368
sh2477,-0.634941737
