gene,logFC,logCPM,PValue,FDR
FAM102B,1.699910366,5.091116585,8.52E-134,3.19E-131
SLC7A11,-1.502673483,6.681932973,7.43E-130,2.74E-127
TPM1,-1.296774565,7.989058689,1.17E-129,4.29E-127
CDH2,-1.445791919,6.70652643,1.85E-128,6.67E-126
AL117348.2,-1.445233627,6.229832751,1.46E-127,5.2E-125
SQSTM1,-1.333479622,7.973504816,1.98E-127,7.03E-125
ANGPTL4,3.578640816,2.764534899,2.54E-126,8.91E-124
IRX2,-2.146122233,4.061510757,7.67E-126,2.68E-123
HLA-DQB1,3.494317474,2.782988432,2.28E-125,7.9E-123
HLTF,1.511972701,5.947998157,1.48E-124,5.05E-122
CDC42EP1,-2.126042343,4.20662943,1.54E-124,5.23E-122
CABLES1,-1.89939837,4.449300126,9.51E-124,3.2E-121
VWA1,-1.571675412,5.773200323,2.52E-123,8.4E-121
LRRN1,-1.307896103,7.676530615,3.26E-123,1.08E-120
AC098582.1,2.55195453,3.480282246,5.67E-123,1.86E-120
RAB20,2.132418041,4.481995528,1.79E-122,5.85E-120
LRAT,-1.374797328,6.575601355,6.37E-121,2.05E-118
ANKRD33B,-1.788332145,5.571509436,1.04E-120,3.32E-118
MRGPRF,-2.529391274,3.466303461,5.11E-120,1.61E-117
LIMCH1,-3.503392553,2.719688827,2.02E-119,6.35E-117
PLK2,-1.366104519,6.32260485,2.26E-119,7.02E-117
NCOA5,-1.807554197,4.744007379,2.91E-119,9.01E-117
RBPJ,1.334232203,8.030683582,8.35E-119,2.57E-116
ADAMTS20,2.168478983,4.354756146,1.81E-118,5.54E-116
ICAM5,4.450962429,2.64525925,1.82E-117,5.46E-115
TNFRSF8,-1.678466757,4.702476112,7.89E-117,2.35E-114
ZNF160,1.431056986,5.6247576,3.12E-116,9.16E-114
ANXA2,-1.318530793,7.601243307,4.59E-116,1.34E-113
MAP3K9,1.477408681,5.85600139,7.65E-116,2.22E-113
SORL1,1.326732261,7.619696273,2.24E-115,6.42E-113
NQO1,-1.342187179,6.20607894,2.82E-115,8.02E-113
RIPK1,-1.769015849,4.564195673,2.98E-115,8.44E-113
CASP3,-1.273525825,7.209251046,4.93E-114,1.38E-111
STARD4,1.559706637,7.216976579,5.18E-114,1.44E-111
ABCA1,1.545546667,5.405777787,1.06E-112,2.92E-110
CD300A,5.675980819,1.936325222,7.21E-112,1.97E-109
WDR45B,1.247571858,7.510818262,8.13E-112,2.21E-109
NRP2,-1.497893027,5.83056282,8.45E-112,2.28E-109
FJX1,-2.148785419,4.018389202,2.28E-111,6.09E-109
HES1,2.089472853,5.088554234,3.68E-111,9.76E-109
NAMPT,1.265584403,6.864218664,6.44E-111,1.7E-108
LDHA,1.523211402,9.030334823,2.48E-110,6.48E-108
GJA1,-1.149212855,9.310858153,7.25E-110,1.88E-107
PRAMEF2,-1.547691128,5.166078184,1.42E-109,3.64E-107
SOX21,-3.574020707,2.459070149,7.37E-109,1.88E-106
PSAT1,-1.148809154,8.243671308,1.01E-107,2.57E-105
ENO2,1.292951628,6.73801625,1.83E-107,4.62E-105
PPP1R3C,2.850057795,4.084749316,6.43E-107,1.61E-104
GREM1,-3.391784508,2.644975039,1.74E-106,4.35E-104
NGLY1,1.566712413,5.461005036,1.98E-106,4.93E-104
KITLG,-1.452255707,5.265727982,5.96E-106,1.47E-103
ZIC3,-1.505845795,5.463632107,1.29E-105,3.16E-103
AC000093.1,2.281837339,3.594682994,9.29E-105,2.26E-102
RIPK4,2.030254431,4.188702229,1.42E-104,3.43E-102
CYP2S1,-1.170279352,7.364697138,2.36E-104,5.67E-102
RAB11FIP5,1.517002543,5.157840373,4.93E-104,1.18E-101
MRTO4,-1.398249354,5.546985815,1.55E-103,3.69E-101
SLC38A1,-1.118029589,8.217974977,5.56E-103,1.3E-100
EIF4A2,1.174267471,8.749868333,2.4E-102,5.58E-100
