gene,logFC,logCPM,PValue,FDR
COG8,-0.45312851,6.083347717,3.3E-10,2.71E-09
MYADM,0.351924452,6.405158221,3.32E-10,2.74E-09
PSD,0.843501613,3.043540659,3.33E-10,2.74E-09
CLIP3,0.518168565,4.122356792,3.44E-10,2.83E-09
BCL7B,-0.567924523,3.857174589,3.45E-10,2.84E-09
NIFK,-0.465428982,5.684940815,3.46E-10,2.85E-09
EPDR1,-0.720579611,2.845401514,3.47E-10,2.85E-09
RAB31,-0.380149514,5.72076466,3.48E-10,2.86E-09
RAD50,0.380216809,6.053792334,3.57E-10,2.93E-09
SETD3,-0.39412117,5.683896679,3.57E-10,2.93E-09
ACADVL,-0.408456161,5.906219663,3.61E-10,2.97E-09
TMEM161A,0.473470016,4.610948549,3.61E-10,2.97E-09
MBD3L2B,-1.119842603,2.283924782,3.62E-10,2.97E-09
NUBPL,0.56089532,3.79214651,3.69E-10,3.03E-09
SUMO2,0.39198918,7.283849023,3.69E-10,3.03E-09
IREB2,0.352662169,6.810999155,3.71E-10,3.05E-09
CDK14,-0.568827522,4.413427616,3.73E-10,3.06E-09
NRM,0.596707768,3.791786417,3.75E-10,3.07E-09
NAGPA,-0.766063884,3.32080155,3.77E-10,3.09E-09
CA11,0.597795622,4.68060504,3.8E-10,3.11E-09
SLC9A1,-0.42501236,5.044877056,3.83E-10,3.14E-09
C1R,1.188645799,1.896114929,3.84E-10,3.15E-09
WIZ,-0.384408151,5.657164236,3.89E-10,3.19E-09
ZNF26,-0.553601173,3.844546705,3.9E-10,3.19E-09
RMDN1,0.473532743,4.529733394,3.92E-10,3.21E-09
HTD2,-0.557737952,3.746042416,3.97E-10,3.25E-09
SPAG16,0.813962873,3.215800533,3.99E-10,3.27E-09
NDUFA4,0.40780737,6.08265662,4.01E-10,3.28E-09
SLC35C2,-0.441389507,4.766092182,4.08E-10,3.34E-09
MAGED4,-0.449434327,5.184199579,4.1E-10,3.35E-09
HTRA2,-0.447397485,4.699107611,4.1E-10,3.36E-09
HIVEP1,-0.6264217,4.432616964,4.11E-10,3.36E-09
ZNF598,-0.430890641,5.480539026,4.14E-10,3.38E-09
MGAT5B,-0.605054207,3.409220135,4.15E-10,3.39E-09
DDX3X,-0.32449153,8.347762242,4.16E-10,3.4E-09
CFAP36,0.553414414,4.185798064,4.21E-10,3.44E-09
KCNQ1,1.613612507,0.453017224,4.23E-10,3.45E-09
PCNA,-0.338469511,7.226199233,4.26E-10,3.48E-09
MEIOB,2.473305251,-0.701368225,4.29E-10,3.5E-09
TMEM62,-1.143497247,1.330522691,4.29E-10,3.5E-09
LRRCC1,0.580444779,3.784843418,4.3E-10,3.51E-09
UBE2J1,-0.467974341,4.876749038,4.3E-10,3.51E-09
PDE1C,-2.502894929,-0.666013433,4.33E-10,3.53E-09
COL8A2,1.402336017,0.884300983,4.37E-10,3.56E-09
SCN4B,1.771659943,0.408435103,4.42E-10,3.61E-09
NT5DC2,-0.331462477,7.428093728,4.44E-10,3.62E-09
TMC8,1.170781651,1.631208459,4.44E-10,3.62E-09
ZNF347,-0.589034392,3.853547442,4.53E-10,3.69E-09
CORO2B,-0.963565485,2.248338101,4.53E-10,3.69E-09
ILDR2,-0.920439997,2.045756263,4.55E-10,3.7E-09
SCNN1A,-0.44021588,6.255103254,4.57E-10,3.72E-09
CDR2L,-0.461798732,5.348079992,4.57E-10,3.72E-09
DACT3,1.535194256,0.541982186,4.59E-10,3.73E-09
NAT10,0.341484901,6.693828757,4.59E-10,3.73E-09
HBP1,0.434922125,5.231202993,4.6E-10,3.74E-09
EIF4H,0.327922543,8.281349437,4.6E-10,3.74E-09
SEC23A,0.38441562,5.912624921,4.6E-10,3.74E-09
DARS2,-0.385481812,5.521103599,4.64E-10,3.77E-09
CHRNB2,-0.845304193,2.373589848,4.64E-10,3.77E-09
SNAI2,1.357676457,1.006619739,4.65E-10,3.78E-09
ARID2,0.441414526,5.518670271,4.67E-10,3.79E-09
ZNF791,-0.58899315,4.173643906,4.67E-10,3.79E-09
ZNF551,-0.473073517,4.737945534,4.68E-10,3.8E-09
ASTN1,1.068899375,1.507705656,4.7E-10,3.81E-09
TIGD2,0.707133655,2.931533269,4.72E-10,3.83E-09
LINGO3,3.021151623,-0.827575919,4.72E-10,3.83E-09
UPF3A,-0.403854801,5.261779066,4.72E-10,3.83E-09
INCENP,0.376836115,6.003097721,4.74E-10,3.85E-09
AMN1,0.929057308,2.503364497,4.76E-10,3.86E-09
ECE1,-0.409466792,5.581595679,4.76E-10,3.86E-09
TNKS2,0.338701717,7.287848136,4.81E-10,3.9E-09
S100PBP,0.403341169,5.277908281,4.82E-10,3.91E-09
AK4,0.325248835,7.586643334,4.84E-10,3.92E-09
AC093525.2,-0.336307984,6.97226838,4.85E-10,3.93E-09
GABRA5,-0.632516857,3.639828305,4.89E-10,3.97E-09
RSF1,0.360352128,6.138584257,4.94E-10,4.01E-09
AGPAT5,-0.348169207,6.791138334,5.01E-10,4.05E-09
LPCAT2,0.862913456,2.381053345,5.13E-10,4.15E-09
ARL5B,0.363051707,6.788896544,5.21E-10,4.22E-09
AC096887.1,-0.757084055,2.788185266,5.22E-10,4.22E-09
GIT1,-0.477999009,5.818461018,5.24E-10,4.24E-09
PTPN3,0.804393963,2.639872605,5.24E-10,4.24E-09
INF2,-0.422861803,5.47562648,5.26E-10,4.25E-09
ADAMTS17,-1.605215039,0.643605961,5.27E-10,4.26E-09
KRT18,-0.359042013,8.600509138,5.27E-10,4.26E-09
PRPF6,-0.366276895,6.259159155,5.32E-10,4.29E-09
MRPS7,-0.45855735,5.331907528,5.39E-10,4.35E-09
AC022966.1,-0.388141975,5.901961767,5.41E-10,4.37E-09
THEM6,-1.528860462,0.402503975,5.46E-10,4.41E-09
AP002373.1,-0.406546099,5.173699958,5.48E-10,4.42E-09
EOMES,-0.829026041,2.785611838,5.5E-10,4.43E-09
DDX25,0.679692487,3.412702511,5.51E-10,4.45E-09
NUMBL,-0.566654295,3.79987015,5.6E-10,4.52E-09
GOLGA8N,2.38827301,-0.619742453,5.67E-10,4.57E-09
ANK3,-0.394150581,6.05362323,5.67E-10,4.57E-09
CCDC57,-0.821239317,3.17525094,5.73E-10,4.61E-09
ALKAL2,-0.97850887,1.719801794,5.79E-10,4.66E-09
DNAJB5,0.495039438,4.600828795,5.88E-10,4.73E-09
CPSF4L,-0.98188618,1.896702923,5.95E-10,4.78E-09
ADM5,-1.36462156,0.730889887,6.02E-10,4.84E-09
RBM44,2.012849091,-0.164903233,6.14E-10,4.93E-09
HMOX2,-0.600089557,4.208310651,6.16E-10,4.95E-09
ULK1,-0.405652621,6.013027061,6.3E-10,5.06E-09
MYH9,-0.37163395,9.351827622,6.32E-10,5.07E-09
MRPS18B,-0.415835698,5.131539758,6.42E-10,5.15E-09
CMTR1,0.421584472,5.141291076,6.44E-10,5.17E-09
RTN3,0.367172881,7.384407335,6.48E-10,5.2E-09
ERP44,0.423176905,5.338415264,6.58E-10,5.28E-09
MSRB3,-1.726885451,0.261922848,6.6E-10,5.29E-09
ACSF3,-0.565168348,4.075181119,6.63E-10,5.31E-09
ZNF197,-0.546000079,4.08613341,6.65E-10,5.33E-09
ST3GAL3,0.901554246,2.409523317,6.75E-10,5.4E-09
NSUN4,-0.556755273,3.716254724,6.78E-10,5.43E-09
KIF21A,-0.466177055,5.17047714,6.78E-10,5.43E-09
NLGN4X,-0.359545278,6.620948201,6.8E-10,5.45E-09
GCNT1,0.62500422,3.759854679,6.85E-10,5.48E-09
WHRN,0.708267448,3.326811238,6.95E-10,5.57E-09
MTDH,-0.364327773,6.157994789,6.96E-10,5.57E-09
AMZ1,1.419679365,1.138996829,6.96E-10,5.57E-09
SORCS3,2.08616226,-0.10788399,6.99E-10,5.59E-09
PTK2,0.33897704,6.904879658,7.01E-10,5.6E-09
FAM169A,-0.431403548,5.584968414,7.06E-10,5.65E-09
ENKD1,-0.870818771,2.271150128,7.1E-10,5.68E-09
BHLHB9,-0.489331855,4.25568199,7.15E-10,5.71E-09
C8orf58,0.568708326,4.113868131,7.16E-10,5.72E-09
CYP51A1,-0.327914514,7.250287219,7.16E-10,5.72E-09
C1orf109,-0.499299446,4.291912187,7.32E-10,5.85E-09
ZYG11B,0.461896228,4.852557323,7.34E-10,5.86E-09
KCTD7,0.491208748,4.274922693,7.45E-10,5.94E-09
MZT2B,-0.464505164,4.739855581,7.47E-10,5.96E-09
WIPF2,0.423467113,5.091401131,7.56E-10,6.03E-09
ZNF786,-0.892359637,3.48752746,7.7E-10,6.13E-09
CFAP57,-0.598629046,3.791561528,7.71E-10,6.14E-09
DMTN,1.749808368,0.696849243,7.72E-10,6.16E-09
ZNF805,0.616730482,3.38386881,7.76E-10,6.18E-09
KATNAL2,0.985520408,1.800725193,7.77E-10,6.19E-09
MYL7,-2.312933201,-0.597337174,7.84E-10,6.24E-09
WASHC5,-0.402267246,5.59190348,7.85E-10,6.25E-09
SCFD1,0.38635779,5.537434193,7.85E-10,6.25E-09
GLB1L,1.038669277,1.526522918,7.87E-10,6.27E-09
AC015802.6,0.415110943,5.717976637,8.04E-10,6.4E-09
DDIAS,-0.42899386,5.085938596,8.07E-10,6.42E-09
S100A6,-0.651111075,3.195455916,8.08E-10,6.43E-09
NPIPB13,-0.590092876,3.56676823,8.08E-10,6.43E-09
FBXL15,0.637857328,3.367733697,8.08E-10,6.43E-09
UPF1,-0.365271781,6.814467704,8.09E-10,6.43E-09
STK39,0.422973586,5.163039942,8.14E-10,6.47E-09
TNS3,-0.594180133,4.093493835,8.23E-10,6.54E-09
COX19,-0.523425847,3.942546439,8.27E-10,6.57E-09
ICE2,0.372221605,5.860322069,8.3E-10,6.59E-09
C8orf33,-0.364741967,5.979345459,8.46E-10,6.72E-09
SH3BGRL3,0.390287874,5.416843795,8.47E-10,6.72E-09
ELP4,0.613732033,3.561295699,8.49E-10,6.74E-09
HAGHL,-0.527492535,3.868408761,8.55E-10,6.78E-09
PPP3CC,0.901796348,2.091105311,8.65E-10,6.86E-09
PTHLH,-2.810697048,-0.880664693,8.68E-10,6.88E-09
PPP1R12C,-0.49449696,5.469306951,8.69E-10,6.89E-09
CCDC142,-0.570160145,3.790368211,8.86E-10,7.02E-09
RNF227,1.433073179,0.78473396,8.86E-10,7.02E-09
TMED2,-0.33713262,7.22987741,8.89E-10,7.04E-09
TIMP3,-0.708022881,3.360834697,8.94E-10,7.08E-09
TSFM,-0.5689885,4.226540371,8.98E-10,7.11E-09
TBC1D2B,0.450856098,4.554223501,9.07E-10,7.18E-09
POP1,-0.584377699,3.483902342,9.23E-10,7.3E-09
NCK2,-0.372727771,5.860605089,9.32E-10,7.37E-09
STK3,0.546099558,3.741959691,9.38E-10,7.42E-09
BORA,0.425589145,4.809979347,9.48E-10,7.5E-09
DSC2,-0.417809148,5.36327004,9.54E-10,7.54E-09
PINX1,-0.530148723,4.177141026,9.65E-10,7.63E-09
B4GAT1,0.45753208,4.608258765,9.69E-10,7.66E-09
GPR17,-3.077211609,-0.894475194,9.74E-10,7.7E-09
ABTB1,0.889521981,2.442025931,9.84E-10,7.77E-09
ZNF33B,-0.457978861,4.801575661,9.86E-10,7.79E-09
ATP1A1,-0.316192449,8.558983603,9.87E-10,7.79E-09
ZNF486,-0.511516676,4.271619154,9.87E-10,7.79E-09
KCNA2,-2.032714026,-0.360706345,0.000000001,7.91E-09
CSF1R,-1.600078585,0.217752434,0.000000001,7.91E-09
HDAC10,-0.766414677,3.415802336,0.000000001,7.92E-09
MEIOC,0.586413091,4.308786132,1.01E-09,7.97E-09
GABRA1,-0.856649187,2.270610318,1.01E-09,7.99E-09
GPAT3,-1.25163149,1.596017593,1.01E-09,0.000000008
SETD4,-0.440415001,4.949745877,1.02E-09,8.01E-09
VIPAS39,0.496237318,4.418361109,1.02E-09,8.01E-09
HERPUD1,-0.50511695,4.550778249,1.02E-09,8.07E-09
NTS,-0.402264721,5.452846966,1.03E-09,8.1E-09
PRR3,-0.632566561,3.175016381,1.05E-09,8.23E-09
TNFAIP8L1,0.81129028,2.967991157,1.05E-09,8.24E-09
TBC1D22B,0.515112734,4.21072678,1.06E-09,8.36E-09
SMARCD3,1.029372968,1.675630387,1.06E-09,8.36E-09
CETN3,0.70836473,3.884764393,1.08E-09,8.49E-09
ATRNL1,0.638783433,3.226493532,1.09E-09,8.56E-09
SPPL2A,-0.530713879,4.704292963,1.09E-09,8.57E-09
IGSF22,1.927620027,0.105254,1.1E-09,8.67E-09
CTTNBP2,-0.438920804,4.621780004,1.11E-09,8.73E-09
ATF1,-0.495395216,4.08238838,1.14E-09,8.93E-09
MRPS6,-0.497098628,5.89970572,1.15E-09,0.000000009
COQ5,0.412686058,4.951236336,1.15E-09,9.01E-09
ZNF777,-0.637027107,3.907388878,1.16E-09,9.1E-09
ARID5B,-1.487735695,0.735623866,1.16E-09,9.13E-09
GDAP1,-0.406640475,5.041044115,1.17E-09,9.14E-09
FEN1,-0.409048448,5.90398262,1.19E-09,9.36E-09
ZNF217,-0.345145584,7.863743786,1.2E-09,9.39E-09
MROH1,-0.510401362,4.655258997,1.2E-09,9.44E-09
KMT2E,0.469723833,5.321210351,1.21E-09,9.49E-09
GABARAPL1,0.383295085,5.812301571,1.22E-09,9.53E-09
KCNN3,1.642517298,0.770501562,1.22E-09,9.55E-09
TRMT44,-0.596112468,3.42628698,1.22E-09,9.56E-09
RASA4,0.89866134,2.934805518,1.23E-09,9.67E-09
MGAT4A,1.106250484,1.768123417,1.24E-09,9.74E-09
HCCS,-0.58238666,4.119407204,1.26E-09,9.89E-09
CCDC58,0.598630692,4.01272931,1.28E-09,0.00000001
KRCC1,0.583458108,3.565557277,1.28E-09,0.00000001
SSBP2,0.684767805,3.274664174,1.28E-09,0.00000001
ZNF488,-0.829895991,2.593512925,1.31E-09,1.03E-08
OARD1,0.466522891,4.776292621,1.31E-09,1.03E-08
PRAMEF9,-1.109057076,1.67176716,1.33E-09,1.04E-08
FAM228B,-0.70064788,3.062068472,1.33E-09,1.04E-08
HAX1,-0.482059059,5.087196579,1.33E-09,1.04E-08
LONRF1,0.36275096,5.832833876,1.35E-09,1.06E-08
ZNF316,-0.469678949,4.465314272,1.35E-09,1.06E-08
THAP9,0.554752274,3.708518083,1.37E-09,1.07E-08
CCDC152,0.737941523,2.858372946,1.37E-09,1.07E-08
FGGY,1.268124417,2.093051051,1.38E-09,1.08E-08
ZNF865,-0.505690324,4.22615093,1.39E-09,1.08E-08
NT5C1B,-2.339619414,-0.575146092,1.39E-09,1.09E-08
CD40,0.723685319,2.905750844,1.41E-09,0.000000011
KIF22,0.343243424,6.54292429,1.42E-09,1.11E-08
PIK3CA,0.50935517,4.417133479,1.43E-09,1.12E-08
FMO4,1.479928829,0.441822076,1.43E-09,1.12E-08
CCL5,3.369542247,-1.322938434,1.44E-09,1.13E-08
RUNDC1,0.528075101,4.235910973,1.45E-09,1.13E-08
CYB561D2,-0.770669621,3.328198787,1.46E-09,1.14E-08
PHYKPL,-0.364068207,5.942072984,1.46E-09,1.14E-08
FAF2,-0.422667122,5.442060493,1.46E-09,1.14E-08
RTTN,0.482085614,4.672760509,1.47E-09,1.14E-08
MAGED1,0.34406878,6.428513044,1.47E-09,1.15E-08
UBE2M,-0.462683955,5.165509738,1.49E-09,1.16E-08
AC068946.2,0.408049897,5.845675504,1.5E-09,1.16E-08
DXO,-0.640471659,3.073076321,1.5E-09,1.17E-08
RFK,-0.507618665,4.098044274,1.51E-09,1.17E-08
NKAIN4,-1.427423873,0.605280825,1.51E-09,1.18E-08
TMEM187,0.959010269,1.731348755,1.52E-09,1.18E-08
ZNF180,-0.689001043,3.460019708,1.53E-09,1.19E-08
TRA2A,-0.402891836,5.799095795,1.53E-09,1.19E-08
UBE2V2,0.396396917,6.00488859,1.54E-09,0.000000012
AC025165.3,-0.554426937,4.230457209,1.55E-09,0.000000012
FBN2,-0.404339627,5.34177154,1.57E-09,1.22E-08
SEPHS1,0.309599754,9.368414883,1.59E-09,1.24E-08
AC008575.1,-0.489275828,4.558905715,1.62E-09,1.25E-08
ZNF513,-0.653331169,3.377067236,1.63E-09,1.26E-08
MEMO1,-0.503406815,4.129899586,1.64E-09,1.27E-08
MRAP2,-0.785610129,2.624387211,1.65E-09,1.28E-08
USP37,0.411091886,5.341568085,1.65E-09,1.28E-08
STUM,1.802347613,-0.092756693,1.65E-09,1.28E-08
SULT2B1,2.239289594,-0.369322201,1.66E-09,1.29E-08
XKR6,0.585452238,3.403759546,1.67E-09,1.29E-08
PLPP3,-0.467189264,4.958387152,1.67E-09,1.29E-08
OLAH,-2.436356035,-0.500420756,1.7E-09,1.31E-08
COASY,-0.394197927,5.500662095,1.71E-09,1.32E-08
PRG4,0.659555713,3.127364665,1.71E-09,1.33E-08
LSM10,-0.467568483,4.294896442,1.76E-09,1.36E-08
IGLON5,0.418720673,4.938695979,1.77E-09,1.37E-08
DKC1,-0.333672131,6.874987043,1.78E-09,1.38E-08
PHF12,-0.404514087,5.584104135,1.79E-09,1.38E-08
YTHDC2,0.39380483,5.355676847,1.8E-09,1.39E-08
PPP2R2A,0.345765933,6.40501917,1.8E-09,1.39E-08
ARHGEF25,0.807534716,2.293845753,1.82E-09,0.000000014
AP1AR,-0.453871382,4.694259966,1.82E-09,1.41E-08
AC144573.1,7.402899046,-1.964652525,1.83E-09,1.41E-08
CP,0.540472774,3.82580014,1.84E-09,1.42E-08
FAM207A,-0.607123495,3.738435562,1.86E-09,1.44E-08
AC004997.1,0.799279077,3.089667995,1.87E-09,1.44E-08
INO80B-WBP1,0.439784847,5.084047146,1.87E-09,1.44E-08
LHFPL2,-0.445888531,5.163498788,1.87E-09,1.45E-08
HYLS1,-0.765667241,2.616523445,1.88E-09,1.45E-08
SSR1,0.33563717,6.524075454,1.88E-09,1.45E-08
TSPAN7,0.544482642,3.685670686,1.94E-09,1.49E-08
CUL1,-0.360791615,6.414164216,1.95E-09,0.000000015
RIMS3,0.504548367,4.725485237,1.96E-09,1.51E-08
ABCB10,-0.677735049,3.541456126,1.97E-09,1.52E-08
RBM34,-0.449325407,4.847583784,1.97E-09,1.52E-08
ERICH5,-1.643363412,0.489260258,1.98E-09,1.52E-08
SF3A2,-0.373784079,6.078317102,1.98E-09,1.53E-08
GDF11,-0.555468665,4.103451089,0.000000002,1.54E-08
PCBD2,-0.813331823,2.827531322,2.01E-09,1.54E-08
MDH1,0.395173321,7.14797933,2.02E-09,1.55E-08
EML4,0.325119853,7.100008323,2.02E-09,1.55E-08
MAP3K20,0.469582982,4.261959067,2.03E-09,1.56E-08
PCDHAC2,-0.401846295,5.862098351,2.03E-09,1.56E-08
MAIP1,-0.509909612,3.922556816,2.03E-09,1.56E-08
RELL1,0.784282607,2.504812701,2.04E-09,1.57E-08
ZNF182,0.651211946,3.317710437,2.06E-09,1.59E-08
DNM1L,0.357731093,6.518289743,2.09E-09,1.61E-08
MESD,-0.465989276,5.394131516,2.1E-09,1.61E-08
TKT,0.305684903,9.93229765,2.13E-09,1.64E-08
OSCAR,1.748277243,1.389041788,2.13E-09,1.64E-08
FBXL16,0.616199001,3.515067158,2.13E-09,1.64E-08
ZNF594,-0.538145865,3.839467715,2.14E-09,1.64E-08
FCGBP,1.074064906,1.34904537,2.16E-09,1.66E-08
NPC2,0.448872344,6.479203426,2.17E-09,1.66E-08
TAF11L4,-2.300366062,-0.678015053,2.17E-09,1.66E-08
CEBPZOS,0.349725798,6.299443068,2.18E-09,1.67E-08
OLIG3,-1.539480904,0.429908846,2.18E-09,1.67E-08
ATP6V0C,-0.322205738,6.956495626,2.19E-09,1.68E-08
RAD51,-0.453395135,4.448088977,2.19E-09,1.68E-08
TAF8,0.478672897,4.145966219,2.2E-09,1.69E-08
STAT5A,0.872961372,2.012340245,2.21E-09,1.69E-08
PPARA,0.748067175,2.540541341,2.22E-09,0.000000017
ZSCAN18,0.398253103,5.242318391,2.25E-09,1.73E-08
LANCL3,2.235864768,-0.16513617,2.27E-09,1.74E-08
TMEM251,0.589318199,3.747670965,2.3E-09,1.76E-08
CCDC61,0.73750471,3.02878477,2.3E-09,1.76E-08
USP53,-0.404680575,5.285449671,2.3E-09,1.76E-08
CCDC28B,0.682097794,2.889976944,2.32E-09,1.77E-08
RSPH9,-0.577140592,3.864423428,2.35E-09,0.000000018
C19orf53,-0.437714207,4.826173197,2.36E-09,0.000000018
ZNF436,1.358108069,1.156681,2.36E-09,0.000000018
LAMP5,-2.249837269,-0.296259198,2.39E-09,1.83E-08
WDR55,-0.435411204,4.897809498,2.4E-09,1.84E-08
UBQLN1,0.337757169,7.07532169,2.41E-09,1.84E-08
MON1A,-0.766665071,2.490147443,2.41E-09,1.84E-08
NRIP3,-0.715917773,3.358731803,2.43E-09,1.85E-08
PHB,-0.353493887,7.263594881,2.44E-09,1.86E-08
HTR1D,-1.649588039,0.091762386,2.45E-09,1.87E-08
SLC25A18,-1.193738119,1.61417575,2.47E-09,1.88E-08
RAB28,0.565244133,3.672786044,2.49E-09,0.000000019
ACOT11,0.873647459,2.717246283,2.49E-09,0.000000019
PNLIPRP1,3.197841076,-1.268669609,2.49E-09,0.000000019
DFFA,-0.349902855,6.473065503,2.53E-09,1.93E-08
ZNF571,1.002547481,2.105203468,2.54E-09,1.93E-08
CCM2,-0.543917797,4.191218975,2.55E-09,1.94E-08
LETMD1,0.458721531,4.726012148,2.55E-09,1.94E-08
OR2A1,1.472000469,0.648666092,2.56E-09,1.95E-08
CCDC32,0.650948046,2.978743448,2.61E-09,1.99E-08
SLC12A7,-0.485278331,4.989067614,2.65E-09,2.01E-08
C11orf80,-0.54121867,4.061493029,2.66E-09,2.03E-08
PTPRG,0.33665033,7.561701713,2.67E-09,2.03E-08
DHPS,0.446460099,4.856576455,2.68E-09,2.04E-08
FZD5,0.356065548,6.089846895,2.68E-09,2.04E-08
ABHD12B,-0.787678642,3.460247915,2.7E-09,2.05E-08
CHUK,-0.469072955,4.417735703,2.71E-09,2.06E-08
DPH5,0.466929353,4.648273123,2.75E-09,2.09E-08
PRLHR,3.885188327,-1.398696656,2.8E-09,2.13E-08
CNTN1,0.578825877,3.484473613,2.81E-09,2.13E-08
BAZ1B,-0.348781849,6.8876717,2.81E-09,2.14E-08
TIMMDC1,-0.444745827,5.507091727,2.83E-09,2.15E-08
RNF215,0.56002519,3.656303586,2.86E-09,2.17E-08
CALM1,-0.317133049,7.976424585,2.88E-09,2.19E-08
SP9,-3.665551108,-1.28666473,2.88E-09,2.19E-08
SUSD6,0.72024778,2.864126231,2.88E-09,2.19E-08
PCDHA11,-0.370307571,6.050996888,2.9E-09,0.000000022
PRKY,-0.547969447,3.714537708,2.93E-09,2.23E-08
KCNK15,0.836269622,2.145271662,2.96E-09,2.24E-08
CRTC1,-0.621656699,4.076477779,2.99E-09,2.27E-08
ISG20L2,-0.380511246,5.455626449,0.000000003,2.27E-08
TFAP4,-0.545918354,3.91318551,3.01E-09,2.28E-08
ATP2A2,-0.306373697,8.261125647,3.04E-09,0.000000023
DVL1,-0.403128073,5.462430558,3.04E-09,0.000000023
TC2N,0.400194939,5.554765732,3.07E-09,2.32E-08
MYH11,0.718193928,2.767767819,3.09E-09,2.34E-08
LMO1,2.347452939,-0.585506022,3.09E-09,2.34E-08
KXD1,0.379438906,6.371834816,3.11E-09,2.35E-08
TARBP2,-0.413568603,4.893719753,3.13E-09,2.37E-08
RAB11FIP4,0.400362252,5.755945943,3.13E-09,2.37E-08
BEND6,-0.925357551,1.793851105,3.17E-09,0.000000024
RBL1,-0.564815771,3.473806041,3.18E-09,0.000000024
CLK2,0.410401158,5.021615395,3.23E-09,2.44E-08
VSIG10L,0.54157125,3.94672966,3.24E-09,2.44E-08
NUSAP1,0.321417422,6.811480114,3.24E-09,2.45E-08
ZNF581,0.45464781,4.783581912,3.25E-09,2.45E-08
ECHS1,-0.338499283,6.191669773,3.28E-09,2.47E-08
MIGA2,-0.449587463,4.40063222,3.33E-09,2.51E-08
NCCRP1,1.599129675,0.328654235,3.34E-09,2.51E-08
PCDH18,-0.479861827,5.042593834,3.34E-09,2.52E-08
AIFM2,-0.681867576,2.768436025,3.39E-09,2.55E-08
GP6,1.202211559,0.999121677,3.39E-09,2.56E-08
NECTIN2,-0.333294182,6.683763727,3.4E-09,2.56E-08
PXK,0.847646963,2.879215901,3.43E-09,2.58E-08
MCC,-0.634696304,4.081231663,3.43E-09,2.58E-08
ELOF1,-0.4704464,4.951405378,3.45E-09,0.000000026
ADARB1,-0.551723557,3.720440361,3.49E-09,2.62E-08
GOLGA6L10,0.765455205,2.510131403,3.54E-09,2.66E-08
GALNT7,-0.338394443,6.627328443,3.54E-09,2.66E-08
AL162417.1,0.641081451,3.963646474,3.59E-09,0.000000027
PREPL,0.346501787,5.987470196,3.6E-09,2.71E-08
LTBP3,0.63500975,3.56492023,3.63E-09,2.72E-08
KCNG1,-0.626282455,3.256170913,3.63E-09,2.73E-08
ANGEL2,-0.42949431,4.892536409,3.66E-09,2.74E-08
MTUS1,-0.808746834,2.585687623,3.72E-09,2.79E-08
NANOS1,-0.95850246,2.909141056,3.77E-09,2.83E-08
TNFRSF11A,-0.902896894,2.262703319,3.8E-09,2.85E-08
MINPP1,-0.456043528,4.550964114,3.92E-09,2.93E-08
WDR12,-0.386375434,5.765354551,3.94E-09,2.95E-08
ING2,0.601832279,3.276456443,3.94E-09,2.95E-08
FARSA,-0.336711547,6.198654888,3.98E-09,2.98E-08
PIK3C2A,0.319478977,7.470670958,3.99E-09,2.99E-08
CPD,0.323053556,6.686225213,0.000000004,2.99E-08
HMGN4,0.417616734,5.420252359,4.03E-09,3.01E-08
PHAX,-0.393534559,5.333241103,4.08E-09,3.05E-08
TTC30A,0.701046897,2.902512297,4.11E-09,3.07E-08
REXO4,-0.457662417,4.790226105,4.11E-09,3.07E-08
AC008982.1,0.305248431,7.898828996,4.12E-09,3.08E-08
ZC3H14,-0.351018815,6.119707048,4.13E-09,3.09E-08
ZBED6CL,-0.878084323,2.44464291,4.16E-09,3.11E-08
ATG9A,0.368015186,5.817871255,4.19E-09,3.13E-08
PEF1,-0.53344081,4.774248834,4.23E-09,3.16E-08
RAI2,1.50604453,0.705465601,4.25E-09,3.18E-08
SERBP1,0.318096014,9.177355703,4.26E-09,3.18E-08
AKAP3,1.569562499,0.310345512,4.27E-09,3.19E-08
PALB2,-0.468345574,4.51512206,4.37E-09,3.26E-08
KYAT1,0.580548666,3.51663902,4.38E-09,3.27E-08
ZNF860,-0.742418297,2.673744334,4.42E-09,3.29E-08
APPL1,0.354441016,6.080387544,4.48E-09,3.34E-08
NCOA1,-0.49584678,4.859238337,4.48E-09,3.34E-08
ATP1A2,0.447573718,4.393983345,4.51E-09,3.36E-08
AD000671.1,-0.525010013,4.015437267,4.51E-09,3.36E-08
ZZEF1,-0.427263418,5.105648294,4.53E-09,3.38E-08
KCMF1,-0.357840387,6.486564685,4.54E-09,3.39E-08
ATG4C,0.544197969,3.968034056,4.56E-09,3.39E-08
STX17,0.501024644,4.324844873,4.57E-09,0.000000034
EIF3E,0.350360612,7.973356065,4.66E-09,3.47E-08
LIX1,-2.724611654,-0.575477641,4.81E-09,3.58E-08
ACBD7,0.484950373,4.399225484,4.82E-09,3.58E-08
KBTBD4,-0.622371982,3.521308796,4.82E-09,3.58E-08
COX15,0.423490603,5.395822355,4.84E-09,0.000000036
AC011511.4,-0.373719008,5.589666631,4.95E-09,3.68E-08
COMMD9,-0.540276419,4.041020424,0.000000005,3.71E-08
ZNF330,0.421748016,5.066951327,5.01E-09,3.72E-08
DPH6,0.629648348,3.541825703,5.06E-09,3.76E-08
ST8SIA4,1.694224047,-0.038429243,5.1E-09,3.78E-08
IFI27,1.326694037,0.630034116,5.13E-09,3.81E-08
