gene,8C_NC3,8C_NC1,8C_NC2,8C_KD3,8C_KD2,8C_KD1
MAST3,3.840633815,5.952872467,6.748164669,0.803928209,0.596814166,1.401397964
CRLF1,4.092100817,3.497949167,3.657258313,2.679305105,1.893779996,0.411701893
TSSK6,0.752668821,0.729258562,0.121660305,2.079659449,0,0.122907835
ZNF506,17.64196685,42.13504698,6.462636589,3.005806067,4.775319219,4.926236749
ZNF682,16.26501109,18.61530991,6.94089964,9.767672375,11.64973796,14.11242755
ZNF486,10.11319684,43.75918963,13.8581613,0.699060189,2.283886499,1.451336444
ZNF66,4.101429112,7.260884308,1.702387816,1.424504501,1.78693276,0.31420235
AC010615.4,8.899431763,12.53870723,8.93309695,7.145157642,14.61935651,5.375004393
ZNF429,1.05643546,3.885854578,2.293189362,0.534541974,0.416647661,0.062054577
ZNF100,25.54184171,49.47782485,8.85937963,3.02678503,1.337798824,1.117584187
ZNF208,2.546769719,6.972984079,2.369431601,1.707520282,0.190413483,0.063131294
ZNF257,4.865644199,7.451942685,3.827395231,0.755124024,3.29986227,2.909072438
ZNF676,5.895150555,17.12179232,8.631619636,1.231438962,1.270204939,0.23818261
ZNF729,8.622248201,14.3474019,9.500950362,1.391218594,0.43595108,0.708878292
ZNF98,5.769889201,12.22336078,12.09601395,4.552901769,4.253365241,5.795957785
ZNF492,3.455744349,5.837992368,9.725890432,3.551567894,2.739518471,1.925290734
ZNF99,1.611482272,2.315530922,2.667353981,0.899515458,0.621775151,0.33189922
ZNF723,80.37302375,180.0522696,32.81507868,8.292432973,9.619771745,24.78810486
ZNF728,102.8578185,168.2083022,23.4002521,9.073640799,0.674450276,0.744395706
ZNF724,22.41382951,39.42621436,11.49783885,1.363276659,2.581617165,6.675279164
AC092329.3,48.2031211,100.5929279,21.3309152,22.54584586,6.730520072,9.475264513
ZNF91,3.176283602,4.102212743,1.533913621,0.860001456,0.420775536,1.467602775
ZNF675,21.81235354,46.44457252,15.11543975,1.292341556,0.813598971,0.581642987
