type,logFC
siHNRNPU,-1.107800149
siHNRNPU,-0.939415853
siHNRNPU,-0.564022735
siHNRNPU,-1.057111861
siHNRNPU,-0.159168936
siHNRNPU,0.671220242
siHNRNPU,-0.767041139
siHNRNPU,-2.055953589
siHNRNPU,0.309451452
siHNRNPU,-0.475231101
siHNRNPU,-0.429722654
siHNRNPU,-1.092818877
siHNRNPU,-1.122583282
siHNRNPU,-0.28809462
siHNRNPU,0.427331921
siHNRNPU,0.209096653
siHNRNPU,-0.386527526
siHNRNPU,0.176547017
siHNRNPU,0.335239527
siHNRNPU,0.565635837
siHNRNPU,0.408625218
siHNRNPU,-0.202371267
siHNRNPU,-0.197663032
siHNRNPU,-0.222572035
siHNRNPU,0.070249561
siHNRNPU,0.002691549
