gene,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1_dup1074,0,0.009115056,1.913893802,2.017780412,0,0,0
MLT2A1_dup46,0,0,0.921539929,1.988755701,0.368933213,0,0
MLT2A1_dup1471,0,0,0.440877512,1.928372221,0.027918208,0,0
MLT2A1_dup3133,0,0,2.562950629,1.915979735,0.187390724,0.049235706,0
MLT2A1_dup2699,9.250753611,9.520287887,5.629050326,1.906291683,0.084886189,0.022156068,0
MLT2A1_dup725,0,0,1.865811766,1.903025361,0.013320243,0,0
MLT2A1_dup565,0,0,1.520787906,1.865180681,0.725327433,0,0
MLT2A1_dup3455,0,0,0.285207326,1.80837552,1.995729372,0,0
MLT2A1_dup3001,0,0,0.518028493,1.746397273,0.013412319,0,0
MLT2A1_dup3525,0,0.235348325,4.986610162,1.693901701,0.029062269,0,0
MLT2A1_dup142,0,0,2.332130323,1.684199426,0.040517027,0,0
MLT2A1_dup3711,0.53260726,0.395130124,1.787150166,1.682319975,0.297484399,0,0.08827709
MLT2A1_dup3369,0,0,0.279900078,1.672422088,0,0,0
MLT2A1_dup454,0,0,0.416450542,1.629308349,0,0,0
MLT2A1_dup44,0,0,0.097738398,1.603041845,0.077696162,0.022308169,0
MLT2A1_dup2319,0,0.023017508,4.575490147,1.553121582,0.556071078,2.133412647,0
MLT2A1_dup89,0.056286474,0.147574982,0.455751322,1.523497075,0.312548624,0,0
MLT2A1_dup3450,0,0,0.290641164,1.507642419,0.53978408,0,0
MLT2A1_dup1680,0,0.009163156,1.073712538,1.441214434,0.015358697,0,0
MLT2A1_dup3518,0.010946431,0.079980028,3.271123068,1.432176895,1.061175387,0,0
MLT2A1_dup1027,0,0,3.003697432,1.413033883,0,0,0
MLT2A1_dup2737,0,0,0.352041979,1.320535069,0,0,0
MLT2A1_dup2962,0,0,0.58732436,1.302162942,0.015358697,0,0
MLT2A1_dup1214,0,0,0.647991456,1.26912479,0,0,0
MLT2A1_dup1736,0,0,0.149020875,1.26233297,0.046034917,0,0
MLT2A1_dup960,0,0,0,1.242290316,0,0,0
