gene,Zygote,2C,4C,8C,Morula,ICM,TE
MLT2A1_dup2805,0,0,3.183303998,9.968969878,0.034817174,0.024130371,0
MLT2A1_dup824,0,0.077933295,0,9.212129086,0.427786076,0,0
MLT2A1_dup1159,0,0,5.851537794,9.069792824,0.218861806,0,0
MLT2A1_dup2970,0.012314734,0.359910125,3.756545495,8.704178325,0.176371426,0,0
MLT2A1_dup2783,0,0.062213618,7.715444339,8.130304178,0.053174023,0,0
MLT2A1_dup2680,0,0,2.113666141,7.652957783,0.26231732,0,0
MLT2A1_dup1842,0,0.007751867,1.2946701,7.597465387,0.633394624,0,0
MLT2A1_dup2844,0,0.021705106,7.191645142,7.570121156,1.20410637,0,0
MLT2A1_dup928,0,0,0.049394132,7.261751738,2.227843361,0,0
MLT2A1_dup1924,0,0.051018188,3.590575941,7.162838411,0.255041459,0,0
MLT2A1_dup2596,0,0,0.826340799,7.089423275,0.557149618,0.04114423,0
MLT2A1_dup3252,0,0,0.331433952,6.994605188,0,0,0
MLT2A1_dup3128,0,0,0,6.959157807,0.612229258,0,0
MLT2A1_dup1894,0,0,1.34777312,6.855072044,0.403637275,0,0
MLT2A1_dup1947,0,0,5.217799932,6.6366486,1.703691584,0,0
MLT2A1_dup3203,0.049944935,0,1.389688482,6.542166983,2.820737815,0.037804108,0
MLT2A1_dup340,0,0,0.036359315,6.538684374,0.840629635,0.02366182,0
MLT2A1_dup2942,0,0,1.715778871,6.523334898,0.031467871,0,0
MLT2A1_dup604,0,0.073862153,0.612850509,6.386783118,0.477838871,0,0
MLT2A1_dup106,0,0,1.464662312,6.244878054,0.184791945,0,0
MLT2A1_dup1542,0,0,0,5.904217195,0.029473146,0,0
MLT2A1_dup3445,0,0.448817613,12.32249202,5.863503136,1.578561694,0,0
MLT2A1_dup1092,0,0,1.719677042,5.712954595,0,0,0
MLT2A1_dup162,0,0,0.926704754,5.642495524,4.10153213,0.938274307,0
MLT2A1_dup1456,0.017669814,0,0.716629097,5.473607622,0.030396586,0,0
MLT2A1_dup3654,0,0,0.425118906,5.423858665,0.021812677,0,0
MLT2A1_dup2760,0,0,1.615065692,5.34735195,0,0,0
MLT2A1_dup2599,0,0,0.085052281,5.32531468,5.021505823,0,0
MLT2A1_dup878,49.59905092,70.42981702,65.10680045,5.311073719,15.26564679,6.261526857,0
MLT2A1_dup3645,0,0,2.337952362,5.173859258,0,0,0
MLT2A1_dup1969,0.011359503,0.020749536,5.870600785,4.888361935,0.676202769,0,0
MLT2A1_dup2005,0.015207952,0.007804126,0.086800474,4.885020258,0.013080778,0,0
MLT2A1_dup2847,0,0,0.091237942,4.845087542,0.068968558,0,0
MLT2A1_dup3485,0.061383571,0,0,4.711489794,0.74460242,0,0
MLT2A1_dup74,0,0.073134447,1.260584523,4.673503766,0.774214526,0,0
MLT2A1_dup84,0,0,1.427430898,4.594235486,0.388957238,0,0
MLT2A1_dup1351,0.360301575,0.518931739,2.165682515,4.589138479,0.040052383,0,0
MLT2A1_dup412,0,0,0.195081873,4.534062333,0,0,1.484073791
MLT2A1_dup1556,0,0,0.331924621,4.390027385,0.013259559,0.022206537,0
MLT2A1_dup3475,0.023975589,0,0.113941625,4.367001529,3.611015314,0,0
MLT2A1_dup2474,0,0,0.29223781,4.295542401,0,0.051308788,0
MLT2A1_dup73,0,0.045091246,6.533585113,4.19971962,0.304969849,0,0
MLT2A1_dup700,0,0,0.104314613,4.134433924,0.095430461,0,0
MLT2A1_dup1019,0,0.117547844,1.210965514,4.12839071,0.528789026,0,0
MLT2A1_dup419,0,0,0.195081873,4.121022387,0,0,0.593629516
MLT2A1_dup2420,0,0,0.134145732,4.119692943,5.81919086,7.840956946,0
MLT2A1_dup3577,0.610891981,1.706766588,1.277273966,4.116047863,3.481209046,0.312344914,2.818705412
MLT2A1_dup3292,0,0.087217347,0.724156677,3.973250132,1.91692446,0.477598756,0
MLT2A1_dup3448,0,0.045455971,6.275333491,3.868084923,0.502856613,0,0
MLT2A1_dup406,0,0,0.282635795,3.850386506,0.482382029,0,0.081850324
MLT2A1_dup3299,0,0.007549644,1.723000354,3.653718099,0.025308462,0,0
MLT2A1_dup3106,0,0,1.558108664,3.63518488,6.898767851,0,0
MLT2A1_dup2886,0,0,0.193605199,3.571684423,4.410438659,0.372220958,0
MLT2A1_dup133,0,0,0.064863494,3.555290376,0,0,0
MLT2A1_dup2538,0,0,0.184413333,3.539666352,0.021471854,0,0
MLT2A1_dup964,0,0,0.284542507,3.529745105,9.80967636,0,0.114159523
MLT2A1_dup1261,0,0,0.92962864,3.520642998,0,0,0
MLT2A1_dup1925,0,0,1.896822848,3.502452623,0.155918203,0,0
