gene,8C_R1,8C_R2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
TCTE3,0.076307588,0.182616344,-0.379486055,-1,0.734546617,0.533233621,0.604271533,1.24170931,1.279717806,-0.253093324,0.371525017,1.382596196,-0.344597322,0.750275757,0.324649906,-0.668338713
COX19,1.124155867,1.010377139,0.69118992,1.049532385,0.966588333,1.432181719,0.843912101,0.829294057,0.96371739,1.020499257,0.949703513,1.069492716,1.031171659,1.08758871,0.79116827,0.341569442
DAGLB,0.835995295,0.79479731,0.611696973,1.428747074,1.122806772,1.091689111,0.962815241,1.321048432,1.093611822,0.9236025,0.778038392,1.127159244,0.741076399,1.039871177,1.177307317,0.075723198
C1GALT1,1.044767039,0.950014454,0.601183896,0.774766011,1.474756173,1.406599275,1.404729234,1.094324709,1.146852083,1.45941194,1.314626571,1.428397074,1.208496177,1.599414043,1.32861463,0.901047155
TRA2A,1.889920369,1.910905911,0.331627087,0.093214996,1.937436391,1.602550684,1.857174553,1.450666262,1.634784694,2.105621895,1.724600076,1.845783498,1.715737591,1.735258835,1.552397701,0.616056036
NPY,-0.277839535,-0.42717032,-1,-1,-1,-0.060870289,-0.033840379,0.319201864,0.335855304,0.034275063,-1,-1,-0.187440169,-1,0.618076142,-1
CYCS,2.369221982,2.371253922,0.828180491,0.705376996,2.579889757,2.544863687,2.570814406,2.436897303,2.673592766,2.624546615,3.061822904,2.558060605,2.841760226,2.598501063,2.399690851,1.172856196
HOXA9,-0.985077627,0.012967536,-1,-1,-0.842243832,0.532765841,-1,0.786677401,-0.26257667,0.031782483,-1,-1,-1,-0.005649979,0.617305184,-0.633454337
AC004080.3,-0.423440175,0.397684047,-1,-1,-0.562803595,0.828069202,-1,0.916704293,0.142027299,0.224368585,-0.456062264,-1,-1,0.132281468,0.824322231,-0.203714506
YKT6,1.82108636,1.814183313,0.682398897,1.187075482,1.581783141,1.771776442,1.329146587,1.476892176,1.780432317,1.577563487,1.910211415,1.776449467,1.529598701,1.779487615,1.587703334,0.503952662
H2AZ2,1.800681687,1.782525152,-0.175195842,0.416749816,1.871220979,1.926368637,1.714564869,1.753766925,1.935659746,1.810997976,1.985597912,1.980218328,1.898404716,1.848932141,1.760224518,0.35795599
ZPBP,-0.120121604,0.024014379,-0.211948282,-0.012293435,-1,0.109791424,-0.853575101,-0.756842127,-0.475747758,-0.573401238,-1,-0.425035828,-0.542231912,-0.230569424,-0.151863063,-0.124375619
