gene,8C_NC1,8C_NC2,8C_NC3,8C_KD1,8C_KD2,8C_KD3
OR4F29,0.194639674,0.333746867,0.361268,0.588541573,0.357853883,0.498381627
MRPL20,2.13942571,2.069132095,1.751391426,1.612635298,1.593079522,1.108751825
MIB2,0.111796025,-0.486348561,0.10321834,-0.323193627,-0.370512644,-0.187389482
HES2,-0.277115344,0.488778909,-0.335518336,-0.258195534,-0.609330144,-0.491118773
NOL9,1.149292795,1.249890023,0.663784654,-0.015094749,0.291673128,0.298515623
CA6,0.481743746,-1,0.48591704,0.397984819,0.178163355,0.491975795
NMNAT1,1.350766821,0.963431259,0.896317837,-0.229753099,-0.019848754,0.604128589
MASP2,0.028215881,-0.097369633,-0.60434844,-0.412352171,-0.665986116,-0.022818153
DISP3,-0.01370657,-0.34236041,0.394234372,0.040591843,-0.271731346,-0.527523328
FBXO2,-0.25104168,-1,-0.154692026,-1,-0.122355791,-0.361407194
FBXO44,-0.40690863,-0.399171421,-0.740948944,-0.585283302,-0.308665228,-0.129584722
FBXO6,-0.263661723,0.082028033,-0.08111385,-0.12500333,0.050260977,-0.04321051
PRAMEF11,2.315235823,2.186067446,2.146831283,1.378099765,1.68532167,2.042771372
HNRNPCL1,2.543587903,2.38325715,2.207073028,1.888021089,2.050678443,2.663552212
PRAMEF4,2.929317975,2.746886543,2.441330706,1.494150745,1.971959328,2.383936369
PRAMEF10,2.470960661,1.530570517,2.01058541,0.774767636,1.284057986,2.008810676
PRAMEF6,3.089733856,2.476087676,2.539999085,1.381382053,1.889376146,2.112132036
PRAMEF27,2.903511608,2.461741758,2.537364168,1.594272013,1.952700854,2.171166258
HNRNPCL3,2.674006666,2.015760866,2.247567499,1.338258715,1.874926438,2.168886508
PRAMEF25,2.436839276,1.91767264,2.103404719,1.207358773,1.691356838,1.857886193
HNRNPCL2,2.544821611,2.335198587,2.378627393,1.853607626,2.386446763,2.533043916
PRAMEF26,2.824955003,2.318311022,2.45224386,1.61389259,2.146459285,2.26730517
HNRNPCL4,2.7767542,2.201923998,2.356657388,1.600288848,2.143436262,2.422127614
PRAMEF9,2.885567607,2.312155679,2.330829909,1.616018928,1.999766007,2.009994355
PRAMEF18,2.087593051,1.270419453,1.27560933,-1,0.378242196,0.664816703
PRAMEF5,2.961855575,2.218887183,2.435876356,1.321568101,1.644590556,2.030817427
PRAMEF33,2.452324901,0.886355222,1.784357308,0.615260766,0.911282309,1.767851167
PRAMEF15,2.938764836,2.56405641,2.517436111,1.549224171,2.008851348,2.090045756
PRAMEF19,2.54867302,1.778747191,1.797380947,-1,1.141750668,1.195655816
PRAMEF17,2.178945861,1.428459365,1.739625087,0.130481308,0.548487721,0.846996134
PRAMEF20,2.405714808,1.807554259,1.994232916,0.625168902,1.397514716,1.703128494
RSC1A1,1.305877891,1.310359522,1.382416783,0.85089196,0.898501115,0.996636754
ARHGEF19,-0.911356916,-0.877003988,-0.199511992,-0.700663151,-0.549499862,-0.365836679
PLA2G2A,-1,-0.29689075,-0.693686874,-1,0.061844325,-0.413494318
CELA3B,0.957467231,1.105265653,0.929778573,-0.112852932,0.518583293,0.455312882
CELA3A,0.871916693,0.134941882,0.178410254,0.743633527,0.992508258,0.587998526
CDC42,1.792594076,1.481214996,1.460777234,1.361274421,1.306633907,1.035303427
TEX46,0.524907417,0.29644049,-0.348008551,-1,-1,-1
LUZP1,1.60820929,1.063200487,1.094779863,1.036619836,1.201674713,1.191154134
RSRP1,1.778706031,2.149164116,1.386002199,0.487685126,1.49103204,1.484552864
TRIM63,-1,-0.292702805,-1,-0.548836564,-1,-0.398378898
FAM110D,-0.54689142,0.089835261,-0.197564873,-1,-0.460260882,-0.387394807
CNKSR1,0.278238317,0.077756319,-0.090441939,-0.319076778,-0.172282704,-0.3440702
SH3BGRL3,2.804090288,2.758384559,2.450088691,0.66323692,0.980117748,0.885915461
GPATCH3,1.860577469,1.706313213,1.163634098,0.631337131,0.534191365,0.492546418
DNAJC8,2.456105992,2.576765898,2.154000894,2.160614063,2.181804949,1.614882066
ATP5IF1,2.380823838,2.242413409,2.138470513,1.544374292,1.479115307,1.806321007
YTHDF2,1.921581848,1.880379981,1.761432523,1.327690954,1.527956595,1.245676369
TMEM234,0.805704093,0.964542733,0.268666484,0.041347962,-0.22411018,-0.074666135
RNF19B,1.634653215,1.492803693,1.768799456,1.051552315,0.806679677,0.994095794
A3GALT2,0.373606653,-0.465404739,-0.025158006,-0.547139199,-1,-1
MANEAL,0.984490044,0.035902659,0.045520139,-1,-1,0.113035637
YRDC,2.075249026,1.896427624,1.724548054,0.152896792,0.532399063,1.029821996
PPIE,1.054097398,0.706616456,0.237898543,0.487604966,0.582275254,-0.24253854
MFSD2A,2.24011828,1.29901284,1.235968096,1.241864987,1.186877967,0.178046213
ZNF684,1.899061806,1.203480751,1.279368368,0.732607204,1.108808507,0.147697485
CCDC30,-0.590860628,-0.112622438,-0.321781867,-0.286077811,-0.295227063,-0.203678745
