gene,4C_NC1,4C_NC2,4C_NC3,4C_KD1,4C_KD2,4C_KD3
AC012531.3,1.131305072,1.27083023,1.19182801,-0.794842656,-1,-0.228099639
OR6C3,-1,-1,-1,-1,-1,-1
AC023055.1,2.181303542,2.3467185,1.775231844,1.456005241,1.308338084,1.158819343
ORMDL2,2.142299617,2.296623309,1.837161846,1.594998207,1.605915739,1.478588902
MIP,-0.528998383,0.25816005,0.552549458,-0.316102751,0.034697099,-0.312570039
DDIT3,2.564223006,3.001726207,2.631807578,1.027500537,0.854074288,0.950505121
AC022506.1,3.035047166,3.436733185,3.14952514,1.457839762,1.295759289,1.244411942
AC025165.3,1.961299928,2.05860221,1.645662872,1.514094777,1.342119585,1.613935315
TSFM,1.854239587,1.970874859,1.546876598,1.41079496,1.246991174,1.515402122
AVIL,0.04764261,0.626505684,-0.37256118,-0.256399659,-0.126621301,-0.111075316
LEMD3,0.239005591,0.478274693,0.355429506,-0.283531948,-0.10613906,-0.49613624
LLPH,1.428734178,1.120825176,0.683611541,-0.650636971,-0.115213376,-0.267212199
IRAK3,-0.564885956,-1,-1,-1,-1,-1
RAP1B,1.142689363,1.334371035,0.855267604,1.244119067,0.928252337,0.95324358
MDM2,1.09583201,1.510977926,1.170778864,0.21260857,0.187652853,0.487937707
KITLG,0.739795827,1.067519686,1.038068269,-1,-1,-1
DRAM1,1.046714561,1.09916761,1.079458548,-0.907223609,-0.062632228,-0.387086731
MTERF2,-0.092416326,0.76368864,-0.914060631,-0.857823497,0.099638353,-0.917161703
GPN3,1.922030609,1.950568934,1.683744984,1.308500349,1.549402391,1.356946255
MAP1LC3B2,2.234471771,2.632126098,2.206482946,1.368314526,1.532018403,1.451884927
NOS1,-0.733098289,-0.248818884,-0.719053045,-0.577435654,-0.794406486,-0.975416615
AL021546.1,2.667122833,2.889607694,2.446488828,1.837973661,1.927723158,2.000542271
TRIAP1,2.117609034,2.083238056,1.895759024,1.16919629,1.176393496,1.282198375
DYNLL1,2.396305777,2.664689825,2.373507339,1.408504324,1.441650502,1.169352233
MORN3,0.236473735,0.253902451,-0.03391194,-0.950133537,-0.486145169,-0.701093755
B3GNT4,1.438164762,1.597092853,1.068812668,1.222834038,1.324976585,1.229441078
AC048338.2,1.904190561,2.037261641,1.535237509,1.641912668,1.687171358,1.652189174
DIABLO,1.460712755,1.57865825,1.093501862,1.182148582,1.232336579,1.189247688
AC048338.1,1.811967033,1.942787423,1.471098609,1.566339032,1.59252156,1.578578832
RSRC2,1.487304757,1.78607038,1.334191224,0.956852861,1.132947834,1.116501945
CCDC62,0.103910558,0.838232364,0.537095447,-0.752680107,-0.42223284,-0.813810473
SBNO1,1.421719455,1.41957449,1.271524407,0.864895341,1.083552201,0.97180645
KMT5A,1.390175114,1.88250092,1.271078664,0.219878702,0.724858104,0.352912756
SNRNP35,1.137923203,1.47022042,0.991625101,0.63837448,0.564603184,0.504036384
ZNF605,0.351468828,-0.07101306,0.414532673,-0.265965683,-0.3175523,-0.425841879
ZNF140,1.068631912,1.063954599,0.889303923,0.707785895,0.552874666,0.405554253
ZNF891,0.608667953,0.369058359,0.46153674,-0.196877515,-0.392064643,-0.736961295
AC026786.1,1.633321286,1.788329672,1.451551193,1.037039752,1.030668573,0.899648101
ZNF268,0.608357495,0.725145508,0.395573733,-0.428350304,-0.139533064,-0.329356928
TPTE2,-0.464258998,-0.051556176,-0.316529727,-0.515489724,-0.690067201,-0.300418551
SAP18,2.661342013,2.994591478,2.457577897,1.607416517,1.541487925,1.439881361
SKA3,1.874422079,1.862825332,1.240390832,1.180551729,1.192152073,0.702579751
USP12,0.590523732,0.906203877,0.668052621,-0.457696652,-0.234367221,-0.094564565
POLR1D,1.187103917,1.621189852,1.411261737,1.371146296,1.216237699,1.227523758
UBE2L5,-0.428790641,-0.007587116,0.329825796,-0.401269685,-0.275156655,-0.42458835
USPL1,1.160625861,1.273750651,0.785660967,0.25372568,0.24490292,0.116269087
RFC3,1.462666544,1.774200974,1.163403332,0.85782595,0.840953857,0.916443169
NBEA,-0.208892677,-0.257669138,-0.685126556,-0.788283157,-0.533605985,-0.411615376
CCNA1,2.68194212,2.777353198,2.471744968,-0.482445722,-0.868800931,-0.357277625
DNAJC15,1.890220123,1.818400091,1.361020555,1.550046629,1.681916653,1.362585391
GTF2F2,1.86035593,2.095762035,1.428329697,1.557124488,1.631769501,1.439493865
CPB2,0.415288277,-0.205714924,-0.216545458,-1,-1,-1
RUBCNL,-0.567142651,-0.364396416,-1,-0.967844534,-1,-1
MED4,1.900511107,2.159584641,1.560617031,0.630061752,0.783712118,0.968459291
MLNR,0.503544653,1.027192494,0.320058797,-1,-1,-1
CAB39L,1.299430604,1.637384389,0.909870627,-0.150369461,-0.148615376,-0.521715316
KCNRG,0.466208177,0.740907262,0.167368502,-0.002160396,-1,-1
DLEU7,-0.08950285,0.818487082,0.742322783,-0.64776061,-1,-1
WDFY2,1.246268203,1.442797743,0.994906458,0.215831173,-0.014360458,0.239518671
PCDH8,-0.581530441,0.212475357,-0.183188303,-0.625889177,-0.68212421,0.020789614
MZT1,1.40143609,2.008124586,1.205960554,0.938526033,0.847520652,0.637944354
SLITRK1,-0.656271672,-0.443096884,-0.792370705,-0.838008176,-0.652867103,-0.581882275
RNF113B,0.164687156,0.925613404,0.430238004,-1,-1,-1
POTEG,-0.311414196,-0.041853946,0.034427249,-0.757462505,-1,-1
RNASE10,0.383627335,-0.541000342,-1,-1,-0.365728198,-1
TOX4,1.734681421,1.808486351,1.399995315,1.460123418,1.592627131,1.424068792
C14orf119,2.160890387,1.858211524,1.529708017,1.705009977,1.594478847,1.464419828
PPP1R3E,0.430513612,0.193493194,0.539956334,-0.964756152,-0.890727301,-0.380407623
NGDN,1.88358413,1.825218349,1.381911101,1.508331446,1.462962671,1.637288458
G2E3,0.763126753,0.767428103,0.529584727,0.602255831,0.73572518,0.507050483
TRAPPC6B,1.248050958,1.271553265,0.858666506,0.684879143,0.666155826,0.700646002
RPL10L,1.980146608,2.360731713,1.042118899,-1,-1,-0.401466378
ARF6,1.48345713,1.466654677,1.105900833,0.958272706,0.92732476,0.955573152
CNIH1,1.40760733,1.373293777,1.205596665,1.362831782,1.212969605,1.002869108
TBPL2,0.197013816,0.595217201,0.689335505,0.123197307,0.303851953,0.315359815
JKAMP,1.103882612,0.934175091,0.775825347,-1,0.20812363,-0.399628293
C14orf39,1.937515023,1.950383428,1.502503799,0.718331272,0.779861234,0.831065312
KCNH5,-0.199901168,-0.061249018,-0.317828023,-0.372754024,-0.720633293,-0.177570725
ZBTB1,0.491696618,0.590541354,0.773795363,-0.120800998,0.088870657,0.118677658
HSPA2,0.628859334,1.188251867,0.837968496,-0.225187391,0.275665936,0.240346185
MPP5,0.799896722,0.707042325,0.243934704,0.638061349,0.30406411,0.24928158
PIGH,1.531922213,1.617069468,1.413676365,0.351514824,0.833678427,0.57116046
SRSF5,1.924845258,2.096188373,1.78568007,1.606998689,1.902982134,1.645070918
COX16,2.113280249,1.914499593,1.475428872,1.527987257,1.561343246,1.384554851
SYNJ2BP-COX16,2.256864821,2.056397869,1.716780866,1.884368603,1.930162762,1.878193714
MED6,1.704209595,1.699671546,1.227717413,1.290646187,1.136880925,1.342463308
ZFYVE1,1.301722052,1.287205907,0.865945511,0.31899043,0.356562811,0.600733865
DNAL1,1.168601853,1.30446483,0.889967588,0.082437561,-0.02275254,-0.268894816
GPATCH2L,0.363929639,0.648820301,0.117792511,-0.033479981,-0.006717846,0.030407753
LGMN,1.75461863,1.988814066,1.61547196,1.56097604,1.44743659,1.377337765
AL110118.2,2.095140171,1.942114057,1.700976417,1.484943719,1.511355096,1.444431354
GON7,1.61902849,1.637041267,1.21558198,0.978872538,0.397831362,0.575839294
UBR7,1.736411416,1.547566991,1.485110296,1.090163648,1.182228858,1.203773612
EIF5,2.387731769,2.348365622,1.810749243,1.599609778,1.83036697,1.778527148
LINC02203,-0.119183973,0.247920775,-0.321297383,-1,-1,-1
ATP10A,-0.042158452,-0.007649525,-0.086631826,-1,-0.896616804,-1
SCG5,-0.880481241,-1,-0.083958653,-0.244104066,-1,-0.870388182
EMC4,1.901121674,2.086156159,1.453884122,1.00685037,1.029760711,0.74668079
SLC12A6,1.208371836,1.403290643,0.883703486,0.592769916,0.588931947,0.37309239
NOP10,3.019016032,3.159852669,2.31220495,2.481728271,2.524678562,2.369010889
C15orf41,0.496484473,0.693031838,0.278718761,0.138088562,0.130111688,0.133331012
SRP14,2.926917648,2.910904368,2.327306481,1.833609203,1.910785921,1.949039275
ZFYVE19,0.874773221,1.157872649,0.956740565,0.302022021,0.57265493,0.476012178
AC087721.2,2.259480146,2.728475321,1.899000935,1.775788873,1.951815035,1.78908998
NUSAP1,2.23478958,2.707990355,1.864804829,1.737903818,1.920404001,1.752434229
HAUS2,1.240731509,1.447856596,1.111852343,0.364055602,0.081525812,0.139005836
CATSPER2,-0.795410715,-0.422079481,-0.589711492,-0.889456243,-0.44970319,-0.671141455
SERF2,2.291403125,2.319471926,1.925911562,1.919555725,2.122054826,2.00889375
MFAP1,2.405683689,2.537136439,2.175767723,1.875119084,1.87747464,1.692949679
BLOC1S6,0.901525567,0.98845256,0.504711532,0.26086371,0.153320781,0.252803939
SCG3,-0.55985946,-0.616018801,-0.698302215,-0.8404712,-1,-1
PIGBOS1,1.54174698,1.479339643,0.823415618,0.648138821,0.969251808,0.38614605
PIGB,0.502244368,0.654608215,0.047443848,-0.130510831,0.133063181,-0.343818773
C15orf65,1.772291522,1.767014524,1.527670907,0.117526233,-0.27832643,-0.035666402
GTF2A2,2.530251612,2.455722798,1.945987807,1.363975674,1.338085688,1.093383164
BNIP2,1.783522091,1.773456928,1.447157972,0.087961689,0.348688859,0.328708487
PLEKHO2,0.310566974,0.776181927,0.681374362,-0.43796352,-0.376710112,-0.184334651
AC069368.1,0.772993176,1.193817378,1.055794726,-0.365863139,-0.180765523,-1
RAB11A,2.026592727,2.323689511,1.770522452,1.730239146,1.633431475,1.587717582
SNAPC5,1.692087252,1.549046688,1.181685707,1.576714194,1.416708784,1.374656609
GLCE,0.922646692,0.981384812,0.689976681,0.75783852,0.597233856,0.475836889
UBL7,1.815739333,1.827035925,1.415001296,1.467910246,1.273185493,1.403108142
