gene,Ctrl_1,Ctrl_2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
ZNF682,19.3095,19.97128,4.681103,8.929729,6.686263,4.936083,6.780836,6.464926,19.10105,11.05781,13.70171,12.59612,5.125976,14.6768,10.33666,4.209327
OR7C1,20.88802,18.16904,1.031206,2.234606,6.061056,11.32708,6.905823,2.528146,14.903,6.815895,16.95911,13.38309,11.53096,21.54031,6.929876,2.083145
BBIP1,18.00568,18.51774,1.528909,2.89182,3.602673,7.277633,5.110496,8.072313,16.65693,5.907297,11.7802,15.04744,5.79805,6.676022,4.847537,2.773647
RAB12,13.62568,19.28741,0.98575,0.1155713,4.050736,5.143101,4.888489,0.5834732,7.454827,1.018363,1.1324,1.876257,1.519331,1.940412,0.5700602,0.9743255
ZNF530,14.07964,16.89655,2.431477,25.46637,4.221639,2.368776,3.648879,9.825883,10.95941,2.249809,5.967308,10.33793,3.921424,18.04744,8.1028,2.54349
SMIM27,15.1599,14.58821,0.4363638,2.342874,7.792835,8.118532,4.317861,9.969343,12.15431,5.528718,10.40685,13.99932,3.020169,14.91429,1.821042,0.6566365
SUMO4,16.69087,12.30867,0.252623,0.09379043,0.5224884,0.5195624,4.967612,0.7102653,0.1814961,0.5389825,0.1879741,0.1186483,0.9113429,0.1259773,2.342039,0
SPINK7,10.47212,18.06766,0,0,0,2.15462,0.2724952,0.3825277,1.831877,2.483506,0,0.2343015,0.2823029,0.2487746,3.026208,0
FBXW7,12.47598,11.64532,0.6318221,0.04343969,7.955557,5.953407,4.256451,7.97888,5.828241,4.802948,5.937596,5.379876,3.997486,3.915102,7.143159,2.819885
CCL2,4.100063,12.81557,0,0,1.070233,3.990898,0.5829628,0.1983905,4.894911,0.8832148,0.2246035,0.3341687,0.1921643,0,0,0.7085855
