gene,4C_NC3,4C_NC2,4C_NC1,4C_KD1,4C_KD2,4C_KD3
CNN1,8.12848232,6.432249057,1.716531613,7.524629784,11.66939638,12.78625484
ZNF490,6.673412673,14.49509041,6.422187273,6.859376601,1.776714242,3.710439417
DAND5,1.71222642,2.820324711,0.243855793,3.641553625,9.461730311,9.942700681
CCDC130,2.961600763,3.006630705,4.836548913,6.989542946,10.47213101,7.34759551
PALM3,2.019981257,0.806037703,1.742325648,1.963980294,2.613230318,4.972773267
C19orf67,13.88344415,4.843315148,7.206125916,41.66012344,36.46300107,32.63657243
PRKACA,0.683950984,1.791478312,1.287052491,3.548111826,6.261613371,4.15175957
ASF1B,20.75291064,19.445145,9.380032462,58.73050026,31.4239437,46.10137423
DNAJB1,182.8718691,556.984861,188.8643837,188.9289257,150.7560352,180.9388805
AKAP8L,9.847891067,16.94424877,5.821351445,6.318455996,3.15751069,7.487903042
AP1M1,2.600648586,3.448838518,2.357518307,4.266990487,3.624002787,7.790333738
HAUS8,3.765402655,7.288355195,4.878475827,13.69446066,12.25374599,5.93494731
ANO8,0.158879082,0.045012495,0.41699445,0.206229921,0.428283512,0.213615635
B3GNT3,0,0.081360613,0,0.220269047,0.086014164,0.027579483
RAB3A,16.51822047,13.74935142,11.88041159,32.94193897,31.42748532,32.41132856
PGPEP1,4.500674751,4.020312969,2.955436827,11.54032043,11.43975779,18.39778524
HAUS5,2.874556466,2.301562274,0.779058688,3.677800688,7.143636846,5.641299339
ZNF565,2.936478273,5.546281373,4.188635047,5.787765196,3.356646929,3.024458989
AKT2,2.425273899,1.770905688,0.966837811,4.463959598,4.08887492,4.735155528
C19orf47,6.296272096,12.66231495,8.533745089,16.22617018,15.97592674,15.0072104
HIPK4,1.527960786,4.69732806,3.498337945,3.203266669,10.9706389,9.4913112
LTBP4,5.246997356,6.779743372,3.217589453,0.954779928,1.507921223,0.687572031
MIA-RAB4B,3.604508789,1.369907638,6.4607631,3.656904528,8.645683487,6.754457885
RAB4B,2.020812719,0.687026799,2.793350624,1.693076899,4.075475678,3.318642388
DMRTC2,0.492740806,2.725520524,3.859218628,14.28700527,7.590058345,5.340548452
ZNF574,4.990160909,21.27903282,6.824246506,13.26426328,12.95694963,10.02641515
ZNF526,1.353514562,2.396675936,0.641412385,4.480991026,2.721443409,2.365048279
ZNF575,8.070362079,4.54490688,3.778553838,4.994610897,5.716551518,8.651201165
XRCC1,18.75903096,15.17548319,9.2114504,20.3593171,8.905387805,20.4441711
