gene,4C_NC3,4C_NC2,4C_NC1,4C_KD1,4C_KD2,4C_KD3
OR4F29,5.194707268,0.905678545,3.146317421,2.404806692,3.670341074,4.528329425
MRPL20,47.61942561,53.73681787,153.3927974,19.51637889,38.67696665,28.86899117
MIB2,1.342398667,1.670319376,2.467871169,0.315743255,0.860288806,0.409407631
HES2,1.161827161,0.916649868,0.398858109,0.312377114,0.616686717,0
NOL9,2.231037274,7.65314563,7.941399601,1.355059067,0.873509264,1.743504312
CA6,1.852057397,6.516581676,5.122254141,0.19387317,1.192953768,0.459008802
NMNAT1,10.29779422,10.45803322,7.15303777,0.885424232,0.292765346,1.25898846
MASP2,0.635105787,0.105843335,1.045898225,0,0.317042106,0.017939298
DISP3,0.233879354,1.693337704,1.614172798,0.038331133,0.233503157,0.08734855
FBXO2,0.502807338,1.780647628,1.363658424,0.519160843,0.501998566,0.33801652
FBXO44,1.149834989,2.044003747,1.873834573,0.013302327,0.090038076,0.064956838
FBXO6,1.558297024,0.908941075,3.047384225,1.784750584,0.640619611,1.100397543
PRAMEF11,143.7375609,353.7441721,264.737647,0.635735868,0.64545588,1.28314107
HNRNPCL1,219.1795726,702.9052515,365.1094389,0.592817959,1.218094084,1.72309543
PRAMEF4,206.4900482,600.1953864,619.9542986,0.688460484,0.819799126,0.996098993
PRAMEF10,101.0542847,191.4574749,112.0396183,0.523012603,0,0.100154216
PRAMEF6,193.4486409,659.1933566,484.1333225,2.393203441,1.201546512,3.767011139
PRAMEF27,229.5080827,367.135247,433.8420257,0.251837397,1.107980625,0.532892465
HNRNPCL3,237.8642674,667.0316564,251.7921824,0.163474937,0.899027833,0.332611452
PRAMEF25,91.91531791,174.0751466,169.3512369,0.733847347,0.745067424,1.91118055
HNRNPCL2,316.2874328,811.8926324,465.1345235,0.365273152,2.541063763,1.189114715
PRAMEF26,260.112006,635.7147542,482.7230045,1.158452025,2.21596125,3.812230714
HNRNPCL4,323.9361643,1277.906522,514.4288438,0.319165354,0.720100438,0.952430254
PRAMEF9,228.6117335,706.6990723,453.1853007,0.277021136,0.809678149,1.106776659
PRAMEF18,37.5858945,111.60834,79.16075775,0.045396523,0,0
PRAMEF5,229.865332,775.8012135,463.5208483,0.845602627,1.29241282,2.486386634
PRAMEF33,52.90788557,206.7361926,68.23953019,0.123629268,0,0
PRAMEF15,277.399725,769.7223549,507.7573354,0.25156733,1.149361382,1.883597381
PRAMEF19,92.60647936,321.0347416,203.1498987,0.032581463,0.11026538,0
PRAMEF17,47.87264351,85.94619635,122.3842596,0.118928535,0.0503112,0
PRAMEF20,155.5026776,269.3011333,212.0599992,0,0.49712632,0.717291072
RSC1A1,5.747326529,8.627516286,4.202632308,2.631823048,3.511363541,2.636205893
ARHGEF19,0.839693564,1.13000613,0.018365516,0.049543091,0.607798607,0
PLA2G2A,0.14157682,0,0.743165777,0.529037883,0.23558182,0.317254081
CELA3B,3.666134815,1.755487309,8.176566176,0,0.360868515,0.495893438
CELA3A,4.540235428,0.551274563,8.454908271,0.650566247,1.61890443,3.986562582
CDC42,18.72931387,25.20264201,31.09601579,12.8289061,16.68978085,11.71457617
TEX46,1.807249557,0.341344754,0.632441583,0,1.563763564,0.462833876
LUZP1,16.98567579,30.97761963,30.34711148,3.337356588,9.132686102,7.496011059
RSRP1,38.62519275,122.954105,27.04181127,0.731993646,1.026303621,0.635450967
TRIM63,0.525387745,0.35023325,0.108151689,0.291751618,0.277699051,0.089041107
FAM110D,0.056819564,0,0.24854796,0.083810838,0.085092254,0.24555495
CNKSR1,0.461852664,2.673867243,1.422993561,0.106630243,0.280675511,0.077138979
SH3BGRL3,138.8858906,309.3845984,351.3371824,8.355136867,16.40386331,2.092262725
GPATCH3,17.86140622,55.4616221,38.25333993,5.880471096,6.491094039,5.969434217
DNAJC8,84.22082892,143.3364695,253.5452182,104.8825691,152.3858394,81.80732785
ATP5IF1,90.13342418,207.4670406,241.9735707,15.14005683,8.171036302,9.473013344
YTHDF2,22.28408008,54.61516072,67.98280611,6.882211569,14.26441917,5.078885006
TMEM234,3.184322097,1.324849705,1.675412314,2.128424458,0.95598324,1.197587513
RNF19B,10.5111296,13.63809617,19.69776868,8.412758501,6.387787502,5.998220628
A3GALT2,0.855042801,2.862891489,0.680044713,1.192424225,0.543242925,0.223951875
MANEAL,1.080277734,2.314086705,2.189865652,0,0,0
YRDC,25.30149379,58.1505171,72.91900867,1.091690586,0.429605375,0.247946719
PPIE,1.408237968,3.827700888,3.883682534,2.054002924,2.39800437,1.83298691
MFSD2A,20.26176169,72.30341248,43.94261568,9.28510718,20.18954421,8.72881357
ZNF684,6.410753022,11.40604433,13.88679373,3.28315241,6.349237718,4.161922805
CCDC30,0.192440602,0.071502829,0.524400106,0.094929091,0.236226712,0.154516665
